country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
IDA & IBRD total,1991,9.3770761897,3942565949413.8306,893.6841283478,65.1781878614,60.9800236334,63.002321676,35.6155555842,59.6177700091,4.7666744067,49.570972769,4411587746.0,2804185381.0,63.5929923052
IDA total,1991,14.1087851448,408541541543.951,454.8462295038,54.7161837169,51.9684191186,53.2813314666,44.283226624,52.4548966262,3.2618767498,49.81352599,898197050.0,664537775.0,74.151299061
IDA blend,1991,12.9503129344,159539562258.745,537.5183687863,56.6768239765,53.861616752,55.2022432863,44.6706817987,52.1216186765,3.2076995248,49.3441937873,296807647.0,205796901.0,69.336792245
Indonesia,1991,8.007,116621996217.133,624.3874953844,65.015,62.082,63.537,35.3556957208,60.5333114343,4.1109928449,50.0516968682,186778238.0,127732034.0,68.387
IDA only,1991,14.6805335148,250332478776.688,416.2568836895,53.762089603,51.0209459565,52.3332912875,44.0920033365,52.6193814733,3.2886151902,50.0451585828,601389403.0,458740874.0,76.5353839578
Isle of Man,1991,14.529,821507936.507937,11768.1058977186,76.89,67.651,72.151,17.3990273391,63.3647764957,19.2361961652,51.7333256933,69808.0,33686.0,48.255
India,1991,10.455,270105341879.226,305.5740559286,59.956,58.256,59.055,38.3509937701,57.5905921155,4.0584141144,48.3240491642,883927600.0,656068743.0,74.222
Ireland,1991,8.9,49787502852.072495,14087.2077980306,77.902,72.285,75.025,26.5609208151,62.0181027995,11.4209763854,50.2615257508,3534235.0,1517141.0,42.927
"Iran, Islamic Republic of",1991,6.207,131637664957.524,2194.4390680284,68.596,64.537,66.459,43.8896377603,52.8219501079,3.2884121317,48.9726061994,59986931.0,25875363.0,43.135
Iraq,1991,8.541,407796349.663785,22.9521327615,66.696,58.436,62.519,45.0338005252,51.3833159413,3.5828835335,50.7649831969,17767253.0,5415103.0,30.478
Iceland,1991,7.0,6909730288.170609,26802.9895156678,81.27,74.87,77.9919512195,24.8283633035,64.4514219664,10.7202147301,49.8320481591,257797.0,23377.0,9.068
Israel,1991,6.5,70871081524.7686,14320.2831935277,78.5,75.1,76.7585365854,30.7204486631,59.9207994243,9.3587519126,50.3689730033,4949000.0,471986.0,9.537
