country,year,"Death rate, crude (per 1,000 people)",GDP (current US$),GDP per capita (current US$),"Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)",Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),"Population, female (% of total population)","Population, total",Rural population,Rural population (% of total population)
Mozambique,1991,19.812,3854856434.58062,288.7080924844,46.472,42.821,44.66,45.6089962549,51.4080811097,2.9829226354,51.7763475064,13352090.0,9949043.0,74.513
Mauritania,1991,9.52,2133692696.7485695,1061.6770428526,61.322,58.524,59.936,45.2915006832,51.6301378588,3.0783614581,50.2685424667,2009738.0,1221941.0,60.801
Mauritius,1991,6.6,2895354736.18332,2705.266481588,73.9,66.2,69.956097561,29.3717549937,65.143544075,5.4847009313,49.0862080376,1070266.0,601736.0,56.223
Malawi,1991,21.711,3206783830.4177895,325.7527310593,45.529,41.177,43.312,45.613030135,50.6499367929,3.7370330721,51.4770636638,9844227.0,8674241.0,88.115
Malaysia,1991,4.656,49143148094.2683,2679.2010110675,73.671,69.368,71.442,36.9074688359,59.5185237795,3.5740073846,48.9500728446,18342464.0,9065579.0,49.424
North America,1991,8.4402140594,6772291612315.62,24094.1306916521,79.089288521,72.2538561866,75.5879542615,21.6079429969,66.1344937029,12.2575633002,50.7766959459,281076404.0,68027002.0,24.2023168853
Namibia,1991,8.425,2996869281.48364,2116.9055251621,64.933,59.115,62.098,42.2179816322,54.3557228717,3.4262954961,51.6364527677,1415684.0,1020439.0,72.081
New Caledonia,1991,5.6,2653780672.09555,14642.5179713722,74.2,66.7,70.3585365854,32.5911232744,63.0924530176,4.3164237081,49.2760900032,181238.0,73004.0,40.281
Niger,1991,23.667,3285796874.97125,384.4431167992,42.514,41.823,42.218,46.7737456403,51.0675361203,2.1587182394,49.8776457104,8546900.0,7226489.0,84.551
Nigeria,1991,18.819,59526833412.35809,596.9387957107,47.27,44.197,45.691,45.1809782719,51.6897046943,3.1293170338,50.1749801627,99720162.0,69628606.0,69.824
Nicaragua,1991,6.896,1488804123.71134,349.5143186406,67.014,60.834,63.931,45.6786341184,51.4768629346,2.8445029471,50.9669601032,4259637.0,1987035.0,46.648
Netherlands,1991,8.6,327982316124.47,21764.2144987258,80.15,74.0,77.0,18.3987228053,68.7627754108,12.8385017839,50.671612684,15069798.0,4622058.0,30.671
Norway,1991,10.5,121872464483.487,28596.9330036444,80.1,74.01,76.9807317073,19.0024808626,64.7048747279,16.2926444095,50.5551642074,4261732.0,1181991.0,27.735
Nepal,1991,12.131,3921476084.89072,195.7166214105,55.967,55.412,55.712,41.4968322437,54.85022946,3.6529382963,49.221383514,20036500.0,18197149.0,90.82
Nauru,1991,7.412,52533788.5566282,5333.3795488963,65.58,58.928,61.303,42.0609137056,55.8730964467,2.0659898477,48.4771573604,9850.0,0.0,0.0
New Zealand,1991,7.55,42745329732.163,12230.0734548834,78.9,73.3,76.0317073171,23.1841503072,65.6545507797,11.1612989132,50.7830674941,3495100.0,526013.0,15.05
OECD members,1991,8.4573886359,19951292936462.8,17838.9777124401,78.3613953629,71.3854731774,74.7817837235,22.7527215925,65.7934302499,11.4538481576,50.869213451,1118410105.0,298595626.0,26.6982230409
Oman,1991,4.292,12918335500.6502,6977.3285922345,72.989,68.135,70.189,42.4769359316,55.0905144174,2.432549651,41.6906970828,1851473.0,596248.0,32.204
Other small states,1991,9.646962184,38515626271.8381,3997.827545548,68.5309064742,62.8318709814,65.5568405044,34.1415687311,59.7654505316,6.0929807373,49.7665374463,9634139.0,4627909.0,48.0365470551
Pakistan,1991,10.543,45625336680.2047,380.0198433462,61.331,59.393,60.259,44.1257917946,52.4643730071,3.4098351983,48.0736896725,120060406.0,83050585.0,69.174
Panama,1991,5.347,7074675500.0,2820.5454766542,74.668,68.074,71.207,35.6832440585,59.9729574082,4.3437985333,49.5798091509,2508265.0,1134814.0,45.243
Peru,1991,7.068,34341465998.200294,1527.3887947287,68.197,62.843,65.434,39.0717817626,57.3665476549,3.5616705825,49.9921743568,22483775.0,6902519.0,30.7
Philippines,1991,6.627,51784144942.727,804.3233305305,68.166,64.527,66.304,41.7504795596,55.4232949786,2.8262254618,49.8347323939,64382249.0,34186330.0,53.099
Palau,1991,6.5,106555300.0,6824.3435378507,74.51333333333334,66.65666666666667,70.48918699186667,29.3989560985,64.7186909603,5.8823529412,46.2661713847,15614.0,4690.0,30.034
Papua New Guinea,1991,8.046,3787394957.9831905,941.7077216166,62.47,58.024,59.908,41.945981401,55.8274241348,2.2265944642,47.3182528282,4021837.0,3425962.0,85.184
Poland,1991,10.6,85500935934.9901,2235.5410886252,75.3,66.1,70.587804878,24.6362790796,65.0723180047,10.2914029157,51.3098319771,38246193.0,14795540.0,38.685
Pre-demographic dividend,1991,17.0663512746,223391963376.93896,515.783490371,50.5747466514,46.7752917884,48.6328362044,46.0159431108,50.9803014676,3.0037554216,50.4243176117,433111892.0,308517281.0,71.2326972771
Puerto Rico,1991,7.4,32287031000.0,9064.0185171149,78.266,69.755,73.913,26.8533226142,63.6046366347,9.5420407511,51.5747117109,3562110.0,245572.0,6.894
Portugal,1991,10.4,89233599278.4792,8958.9853330247,77.6,70.6,74.0146341463,19.7262181084,66.4297698009,13.8440120907,51.8219459662,9960235.0,5132609.0,51.531
Paraguay,1991,6.255,6984367762.90371,1685.2689008262,70.081,66.347,68.173,41.5266612682,54.6812249117,3.7921138201,49.5407980573,4144364.0,2095432.0,50.561
Palestinian Territory,1991,6.46,9449620000.0,2358.2910690079398,69.915,66.632,68.306,49.0880251454,48.8314698284,2.0805050261,49.4810121698,2068845.0,657500.0,31.781
Pacific island small states,1991,6.3782956091,2529727413.69895,1404.2097603088,68.8107026133,63.4379194991,65.8853019401,41.3461319194,55.3774904762,3.2763776044,48.8642735331,1801531.0,1228532.0,68.1937474348
Post-demographic dividend,1991,9.1161391386,19456241862585.1,20031.3022090958,79.1225172454,72.2421638138,75.5930554113,19.8273747381,67.3152031293,12.8574221326,51.1038266815,971291914.0,249496213.0,25.6870470684
French Polynesia,1991,3.231,3410078967.89823,16414.8132696888,75.983,72.466,74.149,36.5406461799,60.2481900801,3.21116374,48.452422212,207744.0,88063.0,42.39
Qatar,1991,2.253,6883516483.51648,15133.4969397069,74.918,73.349,73.966,26.7621921392,72.1186538493,1.1191540115,31.4036213977,454853.0,30516.0,6.709
Romania,1991,10.9,28850634899.856,1254.3124421298,73.17,66.56,69.7843902439,22.7627113618,66.4230981849,10.8141904533,51.5314971874,23001155.0,10596632.0,46.07
Russian Federation,1991,11.4,517962962962.963,3490.4523925781,73.75,63.45,68.4743902439,22.725229578,66.9278208491,10.3469495729,53.128391429,148394216.0,39489185.0,26.611
Rwanda,1991,16.453,1911600236.6746097,253.9669020259,48.741,44.454,46.519,48.9432295126,48.7524886357,2.3042818517,50.2015951713,7526966.0,7113660.0,94.509
South Asia,1991,10.7151304067,362063214739.186,310.1562590804,59.482203594,58.0151514087,58.6927942661,39.3950448762,56.6721090508,3.9328460731,48.3995488024,1167357434.0,871782916.0,74.6800330364
Saudi Arabia,1991,4.65,132223230974.633,11847.1699534218,71.301,68.065,69.366,42.7453447548,55.2805261011,1.9741291441,46.0466434854,11160744.0,2542083.0,22.777
Sudan,1991,14.501,44171194366.2039,1617.5567626953,54.563,46.468,50.213,46.2130689793,50.874194884,2.9127361366,49.720110779,22470676.0,15765426.0,70.16
Senegal,1991,11.285,7255210469.51743,913.3995757967,59.321,55.045,57.139,46.3648695689,50.6119914366,3.0231389945,50.2823021534,7943085.0,4842263.0,60.962
Singapore,1991,4.6,45466164978.2923,14502.3799938606,77.9,73.5,75.6463414634,21.2381121522,73.1490636551,5.6128241927,49.4221677772,3135083.0,0.0,0.0
Solomon Islands,1991,6.461,227540473.34008697,665.8331041327,68.703,63.166,65.579,45.4383980734,51.3020920967,3.2595098299,47.7380332301,341738.0,294339.0,86.13
Sierra Leone,1991,21.667,779981458.921489,183.6863906395,44.715,42.297,43.506,43.0099072903,53.0849449646,3.9051477451,50.691984277,4246267.0,2824404.0,66.515
El Salvador,1991,7.257,5252342400.0,955.8268974211,69.066,58.731,63.856,41.6538150106,55.4786543918,2.8675305976,51.1142791994,5495077.0,2758858.0,50.206
Somalia,1991,40.463,717974929.763158,105.3713265162,28.415,24.904,26.565,46.9598244552,50.0651219052,2.9750536396,50.2118947541,6813760.0,4769155.0,69.993
Serbia,1991,10.931,39758979862.198326,5572.962444125576,73.885,67.506,70.6177073171,19.0558501663,69.2199837627,11.724166071,52.0499571187,7595636.0,3740395.0,49.244
Sub-Saharan Africa,1991,16.3328947602,404976244762.86,756.1858162601,51.6651215336,47.7995122997,49.7032955042,45.3315911468,51.6182923698,3.0501164834,50.3599088974,535551231.0,385527075.0,71.9869647984
South Sudan,1991,33.899,14080606755.7446,1375.87731816095,32.654,27.826,30.148,45.4573667003,52.1891993201,2.3534339796,51.2838463267,4836677.0,4155963.0,85.926
Sub-Saharan Africa (excluding high income),1991,16.331759458,405375420644.432,756.8316282731,51.6682856301,47.801873056,49.7060583608,45.3298250435,51.6195452077,3.0506297488,50.3597022271,535621670.0,385562783.0,71.9841644531
Small states,1991,8.8714822413,49596013548.4567,3580.6128269923,68.8485813633,63.2045690071,65.8989557922,35.1705678989,59.218816117,5.6106159842,49.7519031857,13851264.0,7166119.0,51.7362074274
São Tomé and Principe,1991,10.064,107484142.71556,855.1050758217,63.571,59.392,61.429,45.134908291,50.677226494,4.187865215,50.2657204684,125697.0,69394.0,55.207
Suriname,1991,7.432,448100000.0,1079.725213427,67.504,61.587,64.453,37.3097951149,59.5760855684,3.1141193167,49.8668716402,415013.0,142017.0,34.22
Slovak Republic,1991,10.3,14459924588.948,2726.5930549858,75.17,66.8,70.8829268293,24.8055109734,64.8213183512,10.3731706754,51.2039929815,5303294.0,2292084.0,43.22
Slovenia,1991,9.7,14454495058.907,7229.3114978862,77.4,69.5,73.3536585366,20.3065687005,68.7522165194,10.9412147802,51.5208386584,1999429.0,989377.0,49.483
Sweden,1991,11.0,273834608019.84296,31777.0327994132,80.53,74.94,77.6668292683,18.1348199521,64.1265323416,17.7386477062,50.5952215166,8617375.0,1447374.0,16.796
Eswatini,1991,7.197,1156135717.94598,1273.012245189,64.868,60.355,62.685,47.1254622521,50.4304443071,2.4440934409,51.5012844243,908189.0,721038.0,79.393
Sint Maarten (Dutch part),1991,3.894,1244899878.5549343,32449.088680005592,74.331,69.702,71.954,25.4147875722,71.7894526635,2.7957597644,50.6057378686,30046.0,0.0,0.0
Seychelles,1991,7.7,398307169.86040497,5654.6397572425,76.5,65.2,70.712195122,31.9020536914,61.1449346067,6.953011702,48.7883769731,70439.0,35708.0,50.693
Syrian Arab Republic,1991,4.67,12981833333.3333,1000.0779868495,72.102,68.182,70.036,46.1444426358,50.8607506413,2.9948067229,49.3191378265,12980821.0,6602175.0,50.861
Turks and Caicos Islands,1991,6.22,815631333.7497759,24389.699098861,71.612,66.462,68.888,29.8508675688,65.5126173351,4.6365150961,47.8098334011,12305.0,3010.0,24.463
Chad,1991,20.029,1877137981.75712,302.4872683906,47.438,44.437,45.941,47.0683977806,49.5333909204,3.398211299,50.8120064902,6205676.0,4901057.0,78.977
East Asia & Pacific (IDA & IBRD countries),1991,6.9540434431,722767440275.8861,450.5763802146,69.5642440773,65.1794047159,67.325980741,30.833181252,64.0982781552,5.0685405928,49.3333696759,1604095270.0,1146254843.0,71.4580277066
Europe & Central Asia (IDA & IBRD countries),1991,10.1436397748,1006506817264.95,2323.7873479013,73.1298383321,64.375587523,68.6413136761,26.5261292125,64.4862525631,8.9876182244,52.0324243787,433132067.0,160116716.0,37.1391321865
Togo,1991,12.698,2262767860.10937,549.808011573,55.842,52.707,54.268,44.9392616145,52.1200939702,2.9406444153,50.3571081457,4115560.0,2921842.0,70.995
Thailand,1991,5.612,98234714971.0612,1765.6226735953,74.6,66.94,70.717,29.2059667957,66.7131836094,4.0808495949,49.9340965293,55637434.0,39172648.0,70.407
Tajikistan,1991,9.804,2536585365.85366,457.7678259248,64.218,58.572,61.379,43.9741355896,52.5150576454,3.510806765,51.3024152689,5541205.0,3818444.0,68.91
Turkmenistan,1991,8.064,3208098919.0146,831.9987320747,67.343,60.659,64.035,41.189104419,55.2156199335,3.5952756475,50.7651662624,3855894.0,2121127.0,55.01
Latin America & Caribbean (IDA & IBRD countries),1991,6.7005244276,1124521896186.18,2590.2359982358,71.2220987451,64.9305572238,67.9967878407,36.4049619248,59.0608409635,4.5341971117,50.3366975252,434138780.0,126005876.0,29.0243316301
Timor-Leste,1991,18.434,147713000.0,189.7946492127,46.69,43.501,44.985,42.4132507921,55.4280090148,2.1587401931,48.1330578534,778278.0,613166.0,78.785
Middle East & North Africa (IDA & IBRD countries),1991,6.9731244129,329645734753.08093,1389.4883927453,67.5618626861,63.6351168369,65.5579864616,42.5721752707,54.0057424145,3.4220823148,49.26573006,237242525.0,114462247.0,48.2469348299
Tonga,1991,6.811,132201141.446861,1323.4009855034,71.621,64.033,67.518,40.6059332002,54.8573259056,4.5367408942,49.5985825258,99895.0,77183.0,77.264
South Asia (IDA & IBRD),1991,10.7151304067,362063214739.186,310.1562590804,59.482203594,58.0151514087,58.6927942661,39.3950448762,56.6721090508,3.9328460731,48.3995488024,1167357434.0,871782916.0,74.6800330364
Sub-Saharan Africa (IDA & IBRD countries),1991,16.331759458,405375420644.432,756.8316282731,51.6682856301,47.801873056,49.7060583608,45.3298250435,51.6195452077,3.0506297488,50.3597022271,535621670.0,385562783.0,71.9841644531
Trinidad and Tobago,1991,6.443,5307905882.35294,4205.3777834802,71.399,66.342,68.859,33.2787976911,62.197847123,4.5233551859,50.3822382229,1262171.0,576711.0,45.692
Tunisia,1991,5.366,13074782608.6957,1537.8791651131,73.004,68.221,70.521,37.0571231337,58.6806694608,4.2622074055,48.8544991565,8501827.0,3506494.0,41.244
Turkey,1991,6.664,151034731543.624,2649.2725997444,71.871,64.797,68.169,35.3244733205,59.8804189887,4.7951076907,49.5592159304,57009887.0,22817637.0,40.024
Tuvalu,1991,10.311,10127313.9132358,1134.3317555148,64.489,59.16,61.909,34.9742383513,59.3637992832,5.6619623656,51.8033154122,8928.0,5179.0,58.009
Tanzania,1991,14.502,7197768158.58347,276.4524536133,53.427,49.289,51.306,46.1577604636,50.8810797554,2.961159781,50.3040111186,26780436.0,21636450.0,80.792
Uganda,1991,18.005,3321729159.62277,182.9558973483,48.789,43.86,46.316,48.320065517,48.6471685253,3.0327659577,51.0328349995,18155901.0,16076324.0,88.546
Ukraine,1991,12.9,77350733982.44579,1482.6396484375,74.21,64.62,69.2980487805,21.520463477,66.2319251339,12.2476113891,53.569092844,52170961.0,17322846.0,33.204
Uruguay,1991,9.395,11206176650.9075,3589.0154194263,77.431,69.33,73.305,25.3151188679,62.8767690782,11.8081120539,51.2271354328,3122354.0,333967.0,10.696
United States,1991,8.6,6158129000000.0,24342.2589048189,78.9,72.0,75.3658536585,21.7085535134,65.9395132025,12.3519332841,50.8138006113,252981000.0,61471853.0,24.299
Uzbekistan,1991,6.2,13800167711.5003,658.3135505281,68.109,62.132,65.131,39.8776601149,56.5197627619,3.6025771231,49.8337683079,20962910.0,12192867.0,58.164
Saint Vincent and the Grenadines,1991,5.682,254829629.62963,2270.7635724691,75.677,70.233,72.937,36.8258310573,56.7680881115,6.4060808312,49.1926716687,112222.0,65146.0,58.051
"Venezuela, Bolivarian Republic of",1991,4.688,53453444786.6256,2632.5396981411,74.393,69.385,71.832,37.7914986612,58.3291931168,3.879308222,49.8695757974,20304896.0,3113959.0,15.336
Virgin Islands (U.S.),1991,4.5,4061380952.3809524,37718.2866289058,74.968,68.103,71.4517804878,28.4868924006,65.2805868179,6.2325207815,51.7225028547,104807.0,12278.0,11.715
Viet Nam,1991,6.549,9613369520.41885,143.7152702319,74.451,65.285,69.849,38.1034985243,56.4081712587,5.488330217,51.0516128478,66891775.0,53092671.0,79.371
Vanuatu,1991,6.406,201334169.054441,1326.3732125621,70.247,64.86,67.203,43.8566210016,52.5845968372,3.5587821613,46.8391372518,151793.0,122955.0,81.002
World,1991,9.2353504558,23911650750982.3,4437.5370921303,67.7641465785,63.0212930684,65.3113529242,32.8838737156,60.9782258675,6.1379004169,49.7827609296,5388495973.0,3051529844.0,56.6518421824
Samoa,1991,5.9,125597205.422315,741.5639638085,71.2,65.141,67.881,41.2126257617,54.9348164943,3.8525577441,47.9157810212,169368.0,133462.0,78.8
Yemen,1991,10.878,14665445462.1149,1016.3022304481,61.054,57.04,59.049,51.1556440259,46.0246931427,2.8196628314,49.8087240781,14430201.0,11329295.0,78.511
South Africa,1991,8.017,135203698237.977,3243.2361602395,66.945,59.506,63.265,37.5225359168,58.5303185591,3.9471455241,49.1327998628,41687898.0,19779240.0,47.446
Zambia,1991,17.001,3376806697.1218,423.0712568356,48.418,45.671,47.097,48.3085452256,48.8493732499,2.8420815245,51.5882931474,7981650.0,4869684.0,61.011
Zimbabwe,1991,9.259,8641481700.0,830.5271039872,60.908,55.325,58.091,46.5927531344,50.3303926917,3.0768541739,51.4669602487,10404816.0,7310632.0,70.262
Aruba,1992,6.418,958659217.8770947,13892.6051427736,76.181,70.177,73.179,27.5359898945,66.2097904129,6.2542196926,51.1651880998,69005.0,34504.0,50.002
Africa Eastern and Southern,1992,16.0649253159,241276314848.928,733.1783461017,52.3078901497,47.7267560715,49.9744692158,45.1483883201,51.8752414706,2.9763702093,50.4808921299,329082707.0,242973960.0,73.8337058782
Afghanistan,1992,17.222,13265444380.486206,415.57617568227084,50.32,45.07,47.596,48.0389617466,49.7188468672,2.2421913863,50.115050313,13278974.0,10443249.0,78.645
Africa Western and Central,1992,17.0139562068,124599331246.066,563.3100804499,50.2327534315,47.26979995,48.7214875525,45.4715142022,51.3815959995,3.1468897984,50.2285584151,221191375.0,150787232.0,68.1704842537
Angola,1992,21.634,8307810973.58848,668.7060174599,45.484,39.189,42.209,45.5248219886,52.1528005417,2.3223774697,50.7315044006,12423712.0,7449382.0,59.961
Albania,1992,5.466,652174990.837304,200.8522197723,76.972,70.66,73.715,32.1576901271,62.1940099942,5.6482998787,49.9890175205,3247039.0,2037549.0,62.751
Arab World,1992,8.6031359281,467794315237.36,1996.3775644694,65.2942909644,61.3394517188,63.235231377,42.2667290648,54.4450972171,3.2881737182,48.9409881559,234321565.0,116723387.0,49.813335863
United Arab Emirates,1992,2.598,54239171887.769,25648.2727760844,74.99,70.831,72.306,28.1016725539,70.8885295049,1.0097979411,31.5992435917,2114730.0,449169.0,21.24
Argentina,1992,7.595,228778917308.17,6789.9961113649,75.719,69.095,72.43,30.0386164672,61.0872340392,8.8741494935,50.7609191522,33693527.0,4197540.0,12.458
Armenia,1992,7.67,1272835453.42634,356.3507800069,72.404,64.747,68.627,30.9711896724,63.2762636513,5.7525466763,52.1651598424,3571861.0,1183072.0,33.122
Antigua and Barbuda,1992,7.745,525103703.703704,8153.2778042312,75.941,70.808,73.417,29.3255906031,61.9545218114,8.7198875855,51.2561331594,64404.0,41808.0,64.915
Australia,1992,7.1,325525379566.838,18624.1877335866,80.4,74.5,77.3780487805,21.8361131849,66.7503642669,11.4135225482,50.1751096583,17478635.0,2571981.0,14.715
Austria,1992,10.6,194314032056.098,24782.7118767063,79.3,72.5,75.8170731707,17.6865413393,67.3776367155,14.9358219453,51.9207896452,7840709.0,2946774.0,37.583
Azerbaijan,1992,7.1,444658671.586716,60.2351205406,65.966,56.583,61.296,34.0769169487,61.6235561953,4.2995268561,51.8483670862,7382050.0,3459819.0,46.868
Burundi,1992,19.519,1083037670.60484,184.8689704564,45.285,42.474,43.895,48.8841632959,48.4242600782,2.6915766258,50.7475241559,5858407.0,5469585.0,93.363
Belgium,1992,10.4,234781652446.67496,23372.619171015,79.87,73.0,76.3512195122,18.1699219798,66.513658638,15.3164193822,51.1057499875,10045158.0,347362.0,3.458
